ID,Make,LogoUrl,ImageURL
1,Buick,https://cdn.iconscout.com/icon/free/png-256/buick-1-569183.png,https://www.buick.com/content/dam/buick/na/us/en/index/vehicles/2018/cars/regal-gs/overview/01-images/2018-regal-gs-great-offers.jpg?imwidth=1200
2,GMC,https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/022011/gmc.png?itok=amOejOPj,https://autocarsadvice.com/wp-content/uploads/2018/04/2019-gmc-sierra-1500-look-high-resolution-images.jpg
3,Chevrolet,https://cdn.iconscout.com/icon/free/png-256/chevrolet-16-569591.png,
4,Subaru,https://cdn.iconscout.com/icon/free/png-256/subaru-7-569603.png,
5,Hyundai,https://cdn.iconscout.com/icon/free/png-256/hyundai-22-569606.png,
6,Nissan,https://cdn.iconscout.com/icon/free/png-256/nissan-1-202854.png,
7,Mitsubishi,https://cdn.iconscout.com/icon/free/png-256/mitsubishi-4-282588.png,
8,Ford,https://cdn.iconscout.com/icon/free/png-256/ford-14-569590.png,
9,Honda,https://cdn.iconscout.com/icon/free/png-256/honda-36-569331.png,
10,Scion,https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/0008/4302/brand.gif?itok=CPA4tZNF,
11,Toyota,https://cdn.iconscout.com/icon/free/png-256/toyota-5-569595.png,
12,Acura,https://cdn.iconscout.com/icon/free/png-256/acura-202936.png,
13,Volkswagen,https://cdn.iconscout.com/icon/free/png-256/volkswagen-68-569599.png,
14,RAM,https://cdn.iconscout.com/icon/free/png-256/dodge-2-282447.png,
15,Mercedes-Benz,https://cdn.iconscout.com/icon/free/png-256/mercedes-benz-569574.png,
16,Mazda,https://cdn.iconscout.com/icon/free/png-256/mazda-2-569607.png,
17,Smart,https://cdn.iconscout.com/icon/free/png-256/smart-48-202903.png,
18,Dodge,https://cdn.iconscout.com/icon/free/png-256/dodge-2-282447.png,
19,Volvo,https://cdn.iconscout.com/icon/free/png-256/volvo-202923.png,
20,Jaguar,https://cdn.iconscout.com/icon/free/png-256/jaguar-18-827484.png,
21,Mercury,https://cdn.iconscout.com/icon/free/png-256/mercury-9-283492.png,
22,Lincoln,https://cdn.iconscout.com/icon/free/png-256/lincoln-3-202844.png,
23,Audi,https://cdn.iconscout.com/icon/free/png-256/audi-12-569601.png,
24,Fiat,https://cdn.iconscout.com/icon/free/png-256/fiat-5-569191.png,
25,Infiniti,https://cdn.iconscout.com/icon/free/png-256/infiniti-6-569598.png,
26,Porsche,https://cdn.iconscout.com/icon/free/png-256/porsche-9-569586.png,
27,BMW,https://cdn.iconscout.com/icon/free/png-256/bmw-15-569247.png,
28,Freightliner,https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/0002/1143/brand.gif?itok=LABInlAB,
29,Jeep,https://cdn.iconscout.com/icon/free/png-256/jeep-59-202822.png,
30,Cadillac,https://cdn.iconscout.com/icon/free/png-256/cadillac-4-569605.png,
31,Chrysler,https://cdn.iconscout.com/icon/free/png-256/chrysler-1-202748.png,
32,Kia,https://cdn.iconscout.com/icon/free/png-256/kia-8-569602.png,
33,Mini,https://cdn.iconscout.com/icon/free/png-256/mini-cooper-569187.png,
34,Sprinter,https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/032014/sprinterlogo_0.png?itok=-qyvCkjB,
35,Lexus,https://cdn.iconscout.com/icon/free/png-256/lexus-6-569596.png,
36,Land Rover,https://cdn.iconscout.com/icon/free/png-256/land-rover-569608.png,
37,Tesla,https://cdn.iconscout.com/icon/free/png-256/tesla-11-569489.png,
38,Maserati,https://cdn.iconscout.com/icon/free/png-256/maserati-2-569184.png,
39,Suzuki,https://cdn.iconscout.com/icon/free/png-256/suzuki-282144.png,
40,Saab,https://cdn.iconscout.com/icon/free/png-256/saab-202892.png,
41,Ferrari,https://cdn.iconscout.com/icon/free/png-256/ferrari-16-569500.png,
42,Isuzu,https://cdn.iconscout.com/icon/free/png-256/isuzu-202808.png,
43,Bentley,https://cdn.iconscout.com/icon/free/png-256/bentley-4-569610.png,
44,McLaren,https://cdn.iconscout.com/icon/free/png-256/mclaren-283653.png,
45,Ducati,https://cdn.iconscout.com/icon/free/png-256/ducati-282176.png,
46,Saturn,https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/0008/5204/brand.gif?itok=obbhz6Sr,
